long,lat
2.43841,48.70535
2.41,48.69
2.47582,48.61067
2.52446,48.69782
2.7059707,48.8286457
0.5101875,49.5763988
7.556327,47.582495
-1.52307,43.49381
2.232542,50.7570746
2.5756715,50.4582925
2.8742,50.6785
-2.75139,47.65811
6.158319,48.670075
4.0611947,49.2556464
3.50279,44.52258
-1.6554889,48.0980371
-1.65625,48.0914
-1.63776,48.09527
0.726779,43.119521
5.08133,45.0468
-3.453963,48.732507
-1.17864,46.16926
5.3447,43.3481
5.374876,43.292621
6.9655,43.6243
7.17091,43.66502
7.18571,43.68967
2.34152,48.828815
2.289927,48.876957
2.284616,48.86028
2.29753,48.889165
2.334212,48.834481
2.350288,48.882726
2.301545,48.862265
2.347327,48.857181
2.4909836,48.7514083
2.49,48.8596
2.540676,48.801551
2.518189,48.810245
2.38269,48.95511
2.53251,48.85749
2.5406,48.92074
2.41159,48.87843
2.3873517,48.9356023
2.540317,48.905699
2.480546,48.955999
2.255344,48.922932
5.611739,49.440407
2.219791,48.685452
2.895294,42.751668
-2.830696,47.889989
0.321414,43.112967
-1.1239525,47.2965077
-1.16752,47.340213
7.503163,47.607715
-1.684127,47.489789
1.134454,43.272815
5.350235,45.390281
5.630846,45.597943
5.355824,43.825386
3.4653947,46.1219515
0.12829,48.226077
6.949272,43.532482
2.442956,49.4950021
2.3435797,49.6185414
1.76879,49.449287
-0.915459,43.519797
0.3402236,45.4828155
4.835073,44.862976
-1.004219,44.338161
1.25013,48.570893
-0.542139,45.957919
-1.314787,45.932602
-0.879078,46.22503
0.6221262,47.2777185
4.260786,43.820886
3.381965,44.709643
-0.997696,44.093041
-0.92103,44.63127
3.1079444,50.1322553
165.329261,-20.934577
-61.284211,15.870597
4.068391,44.064377
5.692441,48.36429
6.528341,48.201159
4.984518,48.823454
4.993705,45.833535
4.651317,46.06286
4.8349,45.6017
-1.003865,47.092361
5.2889,43.4079
5.2622,43.3915
5.42063,43.511433
2.22402,48.69618
2.2869178,48.7606564
1.878833,48.970667
2.40298,48.92714
2.2889193,48.94303
2.30946,48.93875
-61.078105,14.6201015
2.3148,48.9017
166.45155,-22.25012
166.44508,-22.30292
45.18851,-12.79273
55.47601,-20.89313
55.4944217,-20.9155364
55.6543,-20.96069
4.8779,45.7306
-61.07018,14.61368
4.838,45.7662
4.81061,45.71987
4.8026,45.77565
4.77885,45.78742
-61.51026,16.259191
2.328834,48.631196
2.336248,48.639349
2.16494,48.676718
2.27799,48.7205
2.36422,48.66655
2.459319,48.613495
2.46119,48.61174
3.28232,48.19998
1.2991,45.80816
4.81784,43.9414
4.82764,43.95807
4.82854,43.93018
4.78827,43.95444
5.91309,43.14016
6.1508,43.1241
2.13884,48.79553
2.66663,48.94333
2.87324,48.95925
6.5549495,46.384624
4.93866,45.70904
4.71803,45.985
7.7626633,48.5540774
2.88105,42.691
2.89607,42.69556
-1.77406,43.34601
-0.4569207,43.335135
3.10919,45.78413
2.47157,49.24912
3.19598,46.98689
-2.77483,47.65923
-3.38036,47.76372
6.183462,48.636843
6.1845661,48.669378
6.1727052,48.6627327
4.040354,49.2342409
6.592097,46.050569
45.175158,-12.850501
-61.372265,16.252798
-61.7633557,16.0704136
2.338945,48.611725
8.962698,41.496332
4.15928,43.689703
6.067361,43.119037
6.693104,43.624429
7.076394,43.759153
4.8025788,46.2787191
7.5273016,48.5559433
6.114403,49.216377
6.404954,46.20859
6.3554903,45.2756154
5.297089,45.733598
-1.883149,48.059323
1.740008,50.583543
5.9813,49.3745
6.18543,49.32916
-0.67293,44.81706
-0.436024,44.96965
2.859438,50.676572
2.30005,48.72516
2.32538,48.75924
2.33572,48.67859
2.46559,48.57555
2.147537,48.787439
2.4586862,48.7654325
2.4310036,48.7762722
166.44455,-22.28788
4.86377,45.73411
4.8677,45.7308
4.90236,45.80721
2.2187,49.0164
2.36575,48.64769
6.1995,46.1792
4.8595696,45.7795856
-1.63865,43.39747
-1.63786,43.3737
-1.57728,47.26786
0.6760598,47.3998634
-1.706185,48.089435
-0.5668694,44.8583148
-4.07279,47.99707
1.50269,49.09932
5.3835,43.26754
5.492145,43.323914
4.96822,43.55307
5.0064558,43.5996158
5.609765,43.175224
3.07077,44.09225
7.121056,43.670849
2.6005865,46.3428932
2.362974,48.900887
2.394569,48.896328
2.388995,48.826635
2.349553,48.88655
2.35987,48.891009
2.359918,48.890223
2.284462,48.873152
2.291066,48.85747
2.361142,48.833974
2.352689,48.82215
2.444897,48.833833
2.301564,48.862424
2.360099,48.855488
2.3899035,48.7896788
2.315351,48.756884
2.42042,48.76307
2.5334328,48.7615579
2.53106,48.72747
2.3849984,48.9519253
2.5410795,48.9125726
2.4999091,48.9432166
2.2429183,48.8201781
2.230641,48.9133
2.25703,48.77665
2.3217228,48.7962203
4.380584,49.53997
1.316949,43.498986
0.8295871,46.3102959
-2.155434,47.324185
6.030561,49.440429
7.378645,49.005508
6.200908,49.255541
2.394129,49.104177
1.7431366,50.638816
1.65782,45.178104
-3.06741,47.7702
-2.346375,47.680465
1.569521,49.968813
-0.077666,42.95835
-1.21931,44.72485
3.198266,47.614582
3.302464,45.443964
3.68573,45.39208
-0.430495,48.799005
-0.236077,48.834074
-0.025706,47.218606
4.076797,46.174023
0.563869,46.679312
3.023344,43.579895
-1.605404,46.9546
-1.2480014,47.4171486
-3.8388665,47.9062785
-4.7713232,48.3340405
4.841264,43.879637
3.550456,49.926472
2.6518389,46.4416036
5.8416152,48.6561033
2.352769,49.176093
3.752856,45.089357
-0.652168,48.072326
4.910906,47.040867
-0.324367,44.032168
0.513756,49.352634
5.151547,48.180753
6.795811,48.034636
-0.764129,47.212609
4.668653,45.851955
6.91937,48.644926
-0.588713,45.573062
6.123204,45.042326
7.383065,47.753593
55.223642,-21.03852
-61.27588,16.2604
-61.2786645,16.2732692
-3.544636,47.84656
2.830567,47.8052
6.59472,43.257999
4.47768,43.60841
4.382579,43.498309
5.918654,46.747955
6.160015,49.200327
4.055972,45.606656
4.88743,45.329778
4.859677,45.633297
4.72475,45.87275
-0.661822,46.478555
-1.487898,46.777822
-1.258605,49.313534
-0.331038,49.230066
-4.163861,48.436803
1.268706,49.032396
2.1336089,49.2463534
2.5395314,49.7155936
2.94395,50.528007
5.4243,43.2954
4.55475,45.49492
2.2337,48.73307
-1.66073,48.0846
-0.48688,44.86642
-0.66319,44.80246
-0.57423,44.80685
1.4539,43.57141
4.3769,43.8358
1.36318,48.73629
2.35307,47.0855
-1.178,46.16038
-1.11694,46.15451
5.283127,43.405194
5.41268,43.3222
5.4544,43.28853
5.382978,43.2917703
3.008148,43.181378
2.3437545,43.2303388
2.389663,48.826866
2.394466,48.885039
2.38261,48.873402
2.38409,48.896094
2.349629,48.891156
2.35984,48.892014
2.299243,48.867447
2.263656,48.848046
2.291152,48.860414
2.274985,48.864216
2.278951,48.874717
2.286013,48.846547
2.332132,48.835017
2.402991,48.830927
2.382991,48.832644
2.375342,48.873359
2.365658,48.877983
2.332465,48.858526
2.334929,48.864546
2.348926,48.856711
2.43985,48.79525
2.36239,48.90925
2.480905,48.8774332
2.46246,48.85846
2.414464,48.86343
2.51191,48.90646
2.4805931,48.9295005
2.4933612,48.9463828
2.3848101,48.9091508
2.328025,48.935206
2.255746,48.885549
2.2804825,48.8823136
2.187427,43.779801
7.402017,48.110433
2.685213,44.542572
6.029869,46.261874
55.691636,-21.081621
5.62179,45.36212
4.834676,45.215331
1.209735,45.767987
-3.480745,48.064767
6.649507,46.092296
6.140008,45.866885
0.154999,43.348994
-0.719374,48.71565
2.311588,44.629403
1.620741,45.030021
1.2051899,43.2371418
1.372466,43.793367
5.427954,45.398088
3.452893,49.982399
3.4722953,46.5177851
-0.887768,49.23779
6.070343,44.675413
2.534207,46.547127
4.169376,48.284692
-0.208288,48.456308
5.35769,45.15373
166.415989,-22.172706
7.719648,48.667355
1.311021,43.927015
3.270707,43.324085
3.104185,49.033581
1.990886,48.711268
2.87911,42.642416
3.693175,43.474835
5.385532,43.863395
5.356103,47.874504
2.720765,46.3680666
6.082569,46.14405
-1.69311,46.58526
-1.53255,47.130126
-2.700095,48.127443
2.4654327,49.2384282
2.645364,49.742028
5.2207008,43.3826687
4.82052,45.73679
-0.63651,44.87446
3.1022917,50.5954427
2.24154,48.63094
2.34629,48.77673
2.1757242,48.8351971
2.039377,48.864515
2.5108,48.96766
2.24115,48.98243
2.4758,48.87998
2.4489179,48.8108627
166.44522,-22.29103
166.44438,-22.26076
55.5365,-21.36
4.84584,45.72939
4.8704927,45.6909422
4.84993,45.74645
4.8539,45.7275
4.89553,45.70329
-61.03613,14.61828
4.80715,45.77506
4.88098,45.813
4.83802,45.76504
9.4412556,42.6556214
8.7717351,41.9292851
8.7440288,41.9336213
2.48253,48.70819
2.3643,48.6716
4.80625,44.13876
4.80772,44.13594
