,long,lat
0,2.43841,48.70535
1,2.41,48.69
2,2.47582,48.61067
3,2.52446,48.69782
4,2.7059707,48.8286457
5,0.5101875,49.5763988
6,7.556327,47.582495
7,-1.52307,43.49381
8,2.232542,50.7570746
9,2.5756715,50.4582925
10,2.8742,50.6785
11,-2.75139,47.65811
12,6.158319,48.670075
13,4.0611947,49.2556464
14,3.50279,44.52258
15,-1.6554889,48.0980371
16,-1.65625,48.0914
17,-1.63776,48.09527
18,0.726779,43.119521
19,5.08133,45.0468
20,-3.453963,48.732507
21,-1.17864,46.16926
22,5.3447,43.3481
23,5.374876,43.292621
24,6.9655,43.6243
25,7.17091,43.66502
26,7.18571,43.68967
27,2.34152,48.828815
28,2.289927,48.876957
29,2.284616,48.86028
30,2.29753,48.889165
31,2.334212,48.834481
32,2.350288,48.882726
33,2.301545,48.862265
34,2.347327,48.857181
35,2.4909836,48.7514083
36,2.49,48.8596
37,2.540676,48.801551
38,2.518189,48.810245
39,2.38269,48.95511
40,2.53251,48.85749
41,2.5406,48.92074
42,2.41159,48.87843
43,2.3873517,48.9356023
44,2.540317,48.905699
45,2.480546,48.955999
46,2.255344,48.922932
47,5.611739,49.440407
48,2.219791,48.685452
49,2.895294,42.751668
50,-2.830696,47.889989
51,0.321414,43.112967
52,-1.1239525,47.2965077
53,-1.16752,47.340213
54,7.503163,47.607715
55,-1.684127,47.489789
56,1.134454,43.272815
57,5.350235,45.390281
58,5.630846,45.597943
59,5.355824,43.825386
60,3.4653947,46.1219515
61,0.12829,48.226077
62,6.949272,43.532482
63,2.442956,49.4950021
64,2.3435797,49.6185414
65,1.76879,49.449287
66,-0.915459,43.519797
67,0.3402236,45.4828155
68,4.835073,44.862976
69,-1.004219,44.338161
70,1.25013,48.570893
71,-0.542139,45.957919
72,-1.314787,45.932602
73,-0.879078,46.22503
74,0.6221262,47.2777185
75,4.260786,43.820886
76,3.381965,44.709643
77,-0.997696,44.093041
78,-0.92103,44.63127
79,3.1079444,50.1322553
80,165.329261,-20.934577
81,-61.284211,15.870597
82,4.068391,44.064377
83,5.692441,48.36429
84,6.528341,48.201159
85,4.984518,48.823454
86,4.993705,45.833535
87,4.651317,46.06286
88,4.8349,45.6017
89,-1.003865,47.092361
90,5.2889,43.4079
91,5.2622,43.3915
92,5.42063,43.511433
93,2.22402,48.69618
94,2.2869178,48.7606564
95,1.878833,48.970667
96,2.40298,48.92714
97,2.2889193,48.94303
98,2.30946,48.93875
99,-61.078105,14.6201015
100,2.3148,48.9017
101,166.45155,-22.25012
102,166.44508,-22.30292
103,45.18851,-12.79273
104,55.47601,-20.89313
105,55.4944217,-20.9155364
106,55.6543,-20.96069
107,4.8779,45.7306
108,-61.07018,14.61368
109,4.838,45.7662
110,4.81061,45.71987
111,4.8026,45.77565
112,4.77885,45.78742
113,-61.51026,16.259191
114,2.328834,48.631196
115,2.336248,48.639349
116,2.16494,48.676718
117,2.27799,48.7205
118,2.36422,48.66655
119,2.459319,48.613495
120,2.46119,48.61174
121,3.28232,48.19998
122,1.2991,45.80816
123,4.81784,43.9414
124,4.82764,43.95807
125,4.82854,43.93018
126,4.78827,43.95444
127,5.91309,43.14016
128,6.1508,43.1241
129,2.13884,48.79553
130,2.66663,48.94333
131,2.87324,48.95925
132,6.5549495,46.384624
133,4.93866,45.70904
134,4.71803,45.985
135,7.7626633,48.5540774
136,2.88105,42.691
137,2.89607,42.69556
138,-1.77406,43.34601
139,-0.4569207,43.335135
140,3.10919,45.78413
141,2.47157,49.24912
142,3.19598,46.98689
143,-2.77483,47.65923
144,-3.38036,47.76372
145,6.183462,48.636843
146,6.1845661,48.669378
147,6.1727052,48.6627327
148,4.040354,49.2342409
149,6.592097,46.050569
150,45.175158,-12.850501
151,-61.372265,16.252798
152,-61.7633557,16.0704136
153,2.338945,48.611725
154,8.962698,41.496332
155,4.15928,43.689703
156,6.067361,43.119037
157,6.693104,43.624429
158,7.076394,43.759153
159,4.8025788,46.2787191
160,7.5273016,48.5559433
161,6.114403,49.216377
162,6.404954,46.20859
163,6.3554903,45.2756154
164,5.297089,45.733598
165,-1.883149,48.059323
166,1.740008,50.583543
167,5.9813,49.3745
168,6.18543,49.32916
169,-0.67293,44.81706
170,-0.436024,44.96965
171,2.859438,50.676572
172,2.30005,48.72516
173,2.32538,48.75924
174,2.33572,48.67859
175,2.46559,48.57555
176,2.147537,48.787439
177,2.4586862,48.7654325
178,2.4310036,48.7762722
179,166.44455,-22.28788
180,4.86377,45.73411
181,4.8677,45.7308
182,4.90236,45.80721
183,2.2187,49.0164
184,2.36575,48.64769
185,6.1995,46.1792
186,4.8595696,45.7795856
187,-1.63865,43.39747
188,-1.63786,43.3737
189,-1.57728,47.26786
190,0.6760598,47.3998634
191,-1.706185,48.089435
192,-0.5668694,44.8583148
193,-4.07279,47.99707
194,1.50269,49.09932
195,5.3835,43.26754
196,5.492145,43.323914
197,4.96822,43.55307
198,5.0064558,43.5996158
199,5.609765,43.175224
200,3.07077,44.09225
201,7.121056,43.670849
202,2.6005865,46.3428932
203,2.362974,48.900887
204,2.394569,48.896328
205,2.388995,48.826635
206,2.349553,48.88655
207,2.35987,48.891009
208,2.359918,48.890223
209,2.284462,48.873152
210,2.291066,48.85747
211,2.361142,48.833974
212,2.352689,48.82215
213,2.444897,48.833833
214,2.301564,48.862424
215,2.360099,48.855488
216,2.3899035,48.7896788
217,2.315351,48.756884
218,2.42042,48.76307
219,2.5334328,48.7615579
220,2.53106,48.72747
221,2.3849984,48.9519253
222,2.5410795,48.9125726
223,2.4999091,48.9432166
224,2.2429183,48.8201781
225,2.230641,48.9133
226,2.25703,48.77665
227,2.3217228,48.7962203
228,4.380584,49.53997
229,1.316949,43.498986
230,0.8295871,46.3102959
231,-2.155434,47.324185
232,6.030561,49.440429
233,7.378645,49.005508
234,6.200908,49.255541
235,2.394129,49.104177
236,1.7431366,50.638816
237,1.65782,45.178104
238,-3.06741,47.7702
239,-2.346375,47.680465
240,1.569521,49.968813
241,-0.077666,42.95835
242,-1.21931,44.72485
243,3.198266,47.614582
244,3.302464,45.443964
245,3.68573,45.39208
246,-0.430495,48.799005
247,-0.236077,48.834074
248,-0.025706,47.218606
249,4.076797,46.174023
250,0.563869,46.679312
251,3.023344,43.579895
252,-1.605404,46.9546
253,-1.2480014,47.4171486
254,-3.8388665,47.9062785
255,-4.7713232,48.3340405
256,4.841264,43.879637
257,3.550456,49.926472
258,2.6518389,46.4416036
259,5.8416152,48.6561033
260,2.352769,49.176093
261,3.752856,45.089357
262,-0.652168,48.072326
263,4.910906,47.040867
264,-0.324367,44.032168
265,0.513756,49.352634
266,5.151547,48.180753
267,6.795811,48.034636
268,-0.764129,47.212609
269,4.668653,45.851955
270,6.91937,48.644926
271,-0.588713,45.573062
272,6.123204,45.042326
273,7.383065,47.753593
274,55.223642,-21.03852
275,-61.27588,16.2604
276,-61.2786645,16.2732692
277,-3.544636,47.84656
278,2.830567,47.8052
279,6.59472,43.257999
280,4.47768,43.60841
281,4.382579,43.498309
282,5.918654,46.747955
283,6.160015,49.200327
284,4.055972,45.606656
285,4.88743,45.329778
286,4.859677,45.633297
287,4.72475,45.87275
288,-0.661822,46.478555
289,-1.487898,46.777822
290,-1.258605,49.313534
291,-0.331038,49.230066
292,-4.163861,48.436803
293,1.268706,49.032396
294,2.1336089,49.2463534
295,2.5395314,49.7155936
296,2.94395,50.528007
297,5.4243,43.2954
298,4.55475,45.49492
299,2.2337,48.73307
300,-1.66073,48.0846
301,-0.48688,44.86642
302,-0.66319,44.80246
303,-0.57423,44.80685
304,1.4539,43.57141
305,4.3769,43.8358
306,1.36318,48.73629
307,2.35307,47.0855
308,-1.178,46.16038
309,-1.11694,46.15451
310,5.283127,43.405194
311,5.41268,43.3222
312,5.4544,43.28853
313,5.382978,43.2917703
314,3.008148,43.181378
315,2.3437545,43.2303388
316,2.389663,48.826866
317,2.394466,48.885039
318,2.38261,48.873402
319,2.38409,48.896094
320,2.349629,48.891156
321,2.35984,48.892014
322,2.299243,48.867447
323,2.263656,48.848046
324,2.291152,48.860414
325,2.274985,48.864216
326,2.278951,48.874717
327,2.286013,48.846547
328,2.332132,48.835017
329,2.402991,48.830927
330,2.382991,48.832644
331,2.375342,48.873359
332,2.365658,48.877983
333,2.332465,48.858526
334,2.334929,48.864546
335,2.348926,48.856711
336,2.43985,48.79525
337,2.36239,48.90925
338,2.480905,48.8774332
339,2.46246,48.85846
340,2.414464,48.86343
341,2.51191,48.90646
342,2.4805931,48.9295005
343,2.4933612,48.9463828
344,2.3848101,48.9091508
345,2.328025,48.935206
346,2.255746,48.885549
347,2.2804825,48.8823136
348,2.187427,43.779801
349,7.402017,48.110433
350,2.685213,44.542572
